I didnt get my order empty box has been sent by flipkart M so sad I have to gift it someone on her birthday But flipkart spoiled my program,0
waterdrop  notch display allows u to make see the videos on God big screen,0
Very super,1
It was very good,1
I bought OPPO F9 during sale at 12990,0
display quality not good,-1
wow its to good fabulous phone I used last 4 months  phone is like a Butter,0
Awesome mobile and processser is so good and PUBG game,1
Very nice,1
same product worst,-1
Its not good lot of heating problem,-1
in this phone processor is 675 and on note 5 there was 636 processer but still note 5 is faster than note 7 i m not happy with performance,-1
nonsense camera effect,0
Please dont buy this phone Microphone problem is thereOther person cannot hear me itselfI dont know if Lenovo knows what a phone does  Calling featureOther all things are additional only Piece of crap Going to request replacement from Flipkart,-1
worst product,-1
awsome product,0
Hi guys,0
Network and connectivity issue in new phone,0
This problem disappointed me,-1
Very bad facility,-1
wonderful mobile,1
The model is not good,-1
Very poor speaker mic literally have to shout to talk,-1
After 3 month of usage its simply owesome phone with nice camera and superb battery back up If some one want nice battery backup with good camere and display Jst Go for it and grab it,1
Excellent mobile value for money I bought it 13000,1
Nice camera,1
Got a defective product waiting for replacement frustrating microphone issue,-1
Nice mobile,1
Not best,-1
its a very good phone  I love this  its camera is Osm,1
This is awesome deal i love it thnks flipkart for this item,1
great phone,1
camera is poor,-1
Battery getting down instantly Its not good as compared redmi,0
Battery is not good,-1
Front Camera is not working with in one month,0
its a nice phone,1
battery somewhere may be disappointed otherwise everything except selfie camera is perfect battery also good but if we compare with 5000 mah,0
volue of money,0
Bad cell phone and hang slowly,-1
I had the camera preview issue customer support was very worst They had never resolved the issue so far,-1
very nice product value for money have to use it for more time over all good mobile,1
Notification LED not available,0
Its a nice phone I have been using it for last 20 days Its good in battery Last for a day Camera is good Peromance is also good Better than average phone I will give it to 45 out of 5,1
This phone doesnt support PUBG game Its net downloading in phone is worst and baterry u wont get much after two games   its drain 60  of battery After two months this phone start lagging Jio network doesnt have much consecutively network,0
it was auesome,0
I need gorilla Glass,0
camera is bad software requires improvement in all aspects you cant delete multiple messages and many more,0
it is like fluid,0
gud mobile,0
plz dont purchase,0
very nice cemra quality display views Velu many as battery life good performance,1
very happy,1
good product good performance bit late delivery front camera ok overall worth buying,0
Speaker not good,-1
gpod,0
Worst phone dont buy it,-1
wounderfull,0
thanks Flipkart fast delivery,0
not worth of 18k,0
thanks Flipkart,0
Nic phone,0
Charger is  very poor product,-1
